sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
1,1,K0,5000.00,0.80,0.82,-0.090,[Fe/H],-0.413,4.20,,2.29955,2.1000,-15.33
1,1,G0,5040.00,0.84,0.81,-0.140,[Fe/H],-0.350,4.25,,2.05330,3.0000,23.58
1,2,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,2.74700,0.5700,23.62
1,2,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],-1.022,4.74,4.400,2.74700,0.5700,23.62
1,2,K3 V,4816.00,0.71,0.50,-0.060,[Fe/H],-0.626,4.43,4.500,3.31801,1.4000,53.34
1,2,K3 V,4746.00,0.72,0.74,-0.070,[Fe/H],-0.626,4.13,4.500,3.31801,1.4000,53.34
1,1,K0 V,5393.00,0.91,1.47,0.380,[Fe/H],-0.191,4.69,1.000,1.53276,0.9200,26.40
1,2,K7 V,4550.00,0.64,0.65,-0.350,[Fe/H],-0.804,4.64,7.400,3.53000,1.0000,-87.30
1,2,K7V,4550.00,0.64,0.65,-0.350,[Fe/H],-0.804,4.64,7.400,3.53000,1.0000,-87.30
1,1,G5 IV/V,4545.00,19.17,2.12,-0.080,[Fe/H],2.043,2.20,0.740,,,18.31
1,1,K5 V,4714.00,0.69,0.74,-0.030,[Fe/H],-0.678,4.26,4.300,2.75844,1.5000,3.40
1,1,,580.50,,0.02,,,,4.72,,,,
1,1,M9-L1,2320.00,0.24,0.01,,,-2.850,3.85,0.003,,,
1,1,M3.5,3099.00,,0.35,,,,,0.002,,,
1,1,K7,3807.00,1.88,0.90,,,-0.108,,0.003,,,18.00
1,1,K5e,4403.00,1.68,,-0.560,[Fe/H],-0.102,3.66,0.002,,13.9700,
1,1,G0 V,5950.00,1.11,0.95,-0.300,[M/H],0.298,4.25,1.600,0.93000,5.2000,23.35
1,1,K1 V,5075.00,0.79,0.89,0.260,[Fe/H],-0.726,4.65,3.000,3.32000,2.0000,15.33
1,1,F6 V,6440.00,1.37,1.27,-0.030,[Fe/H],0.378,4.22,2.000,0.69000,40.0000,-1.34
1,1,,5675.00,1.12,1.08,0.160,[Fe/H],0.070,4.38,6.300,1.08000,1.0000,
1,1,G0 V,5945.00,1.01,1.09,0.010,[Fe/H],0.073,4.46,1.635,1.46800,4.0000,22.45
1,1,F9 V,6035.00,1.21,1.13,0.050,[Fe/H],0.119,4.35,4.200,0.91000,9.0000,
1,1,G5 V,5650.00,1.19,1.10,0.190,[M/H],-0.435,4.36,6.730,0.93000,1.0000,
1,1,G2 V,5740.00,1.59,1.04,0.000,[Fe/H],0.134,4.40,10.700,0.32000,4.5000,54.77
1,1,G9 V,5440.00,1.00,0.95,-0.100,[Fe/H],-0.170,4.40,0.032,1.35000,8.0000,29.55
1,1,F9 V,6090.00,1.65,1.21,-0.020,[Fe/H],0.544,4.07,5.000,0.38000,6.0000,24.16
2,1,,5625.00,0.91,0.96,0.040,[Fe/H],-0.131,4.53,2.700,1.81400,10.8700,23.25
1,2,G2 V,5880.00,1.02,1.14,0.140,,0.170,4.35,0.100,1.51000,4.5000,60.62
1,2,G2 V,4947.50,1.37,1.14,0.140,,0.006,4.35,0.100,1.51000,4.5000,60.62
1,1,F8 IV,6200.00,1.95,1.29,0.000,[Fe/H],0.705,3.70,4.100,0.25500,11.0000,101.00
1,1,G3 V,5939.00,1.14,1.10,0.170,[Fe/H],0.014,4.36,3.300,1.02700,4.0000,
1,1,G0 V,5900.00,1.61,1.14,0.050,[Fe/H],0.087,4.30,7.200,0.50000,9.0000,-35.18
1,2,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],-0.601,4.55,11.000,1.94863,2.0000,51.37
1,2,K1 V,4950.00,0.86,0.91,0.300,[Fe/H],-0.601,4.55,11.000,1.94863,2.0000,51.37
1,1,F9,6040.00,1.19,1.09,-0.010,[Fe/H],0.141,4.31,4.500,0.64637,4.3000,-15.42
1,1,G5,5590.00,1.79,1.09,0.010,[Fe/H],0.451,3.99,8.600,,2.0000,15.51
1,1,G2,5900.00,1.08,1.05,-0.100,[M/H],-0.166,4.40,4.210,1.24000,4.0000,-4.09
1,1,G8/9 IV,5150.00,1.78,1.01,0.150,[Fe/H],0.388,3.60,12.000,0.27000,3.0000,
1,1,K0 V,5260.00,0.90,0.97,0.200,[Fe/H],-0.094,4.30,4.500,1.82500,3.5000,
1,1,F3 V,6740.00,1.56,1.37,0.140,[Fe/H],0.391,4.22,2.200,0.43100,17.0000,-56.16
1,1,G3 V,5650.00,0.91,0.98,0.020,[Fe/H],-0.197,4.40,3.000,1.54162,4.3000,-34.93
1,1,G2 IV,5700.00,2.15,1.25,0.000,[Fe/H],0.398,3.85,4.700,0.15180,2.8000,18.60
1,1,,6190.00,1.17,1.16,0.050,,0.185,4.41,1.000,1.11000,6.4000,32.30
1,1,F9 V,6100.00,1.19,1.00,-0.250,[M/H],0.180,4.19,6.900,1.01000,1.0000,
1,1,F9 V,6090.00,1.02,1.05,-0.200,[Fe/H],0.026,4.43,2.500,1.31000,7.6000,-18.24
1,2,G9 V,5275.00,0.83,0.82,0.050,[Fe/H],-0.289,4.50,1.750,2.00000,3.5000,31.17
1,2,G9 V,5256.00,0.86,0.90,0.060,[M/H],-0.289,4.52,1.750,1.96324,3.5000,31.17
1,1,K1 V,5080.00,0.77,0.88,0.300,[M/H],-0.400,4.58,3.000,2.70000,2.0000,-37.47
2,1,G3 V,5625.00,0.96,0.96,-0.010,[Fe/H],-0.254,4.54,6.000,1.51000,3.5000,19.82
1,1,G0 VI,5970.00,0.79,1.08,0.000,[Fe/H],-0.155,4.67,,1.57283,3.2000,
2,1,,3579.00,0.42,0.51,,,-1.574,4.80,,7.71066,,
1,1,L1.5,,,0.07,,,,,1.000,,,
1,1,M0.5,4371.00,0.27,0.33,,,-0.212,4.00,0.001,0.37705,,
1,4,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,28.61
1,4,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,28.61
1,4,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,28.61
1,4,F8 V,6196.00,1.26,1.21,,,0.320,4.41,2.010,0.81281,3.4100,28.61
1,1,F5 V,6500.00,1.78,1.44,,,0.104,4.10,2.000,0.24354,5.1000,8.27
2,1,K0 V,5138.00,0.91,0.87,0.180,[Fe/H],-0.293,4.30,10.900,,1.9700,34.08
2,1,,13500.00,0.01,0.69,,,-2.400,,,,,
2,1,G6 V,5428.00,0.96,1.01,0.000,,-0.140,4.60,0.045,2.40000,17.8000,8.05
1,1,,3648.00,0.28,0.29,-0.048,[Fe/H],-1.900,5.00,,,,
1,1,,3587.00,0.37,0.41,,,-1.508,4.78,,6.73294,,
1,1,,4991.00,0.55,0.78,-0.089,[M/H],-0.766,4.63,,3.22926,,
1,2,,5942.50,1.60,1.07,-0.051,[M/H],0.458,4.09,,0.42293,,
