sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
1,1,G0,4953.00,5.26,2.53,-0.310,[Fe/H],1.143,3.40,7.000,,0.4300,12.73
1,2,G2/3V,5935.00,1.18,1.08,0.260,[M/H],0.194,4.33,2.350,0.92061,1.7000,8.10
1,2,G2/3V,5935.00,1.18,1.08,0.260,[M/H],0.194,4.33,2.350,0.92061,1.7000,8.10
1,1,K2 V,4914.00,0.78,0.80,0.040,[M/H],-0.492,4.55,,2.31959,4.0000,20.86
1,1,K0/1 V + G (III),5442.00,0.94,0.79,0.350,[Fe/H],-0.102,4.39,3.200,1.32072,1.4000,28.89
2,1,G0 V,6136.00,1.19,1.13,0.060,[Fe/H],0.333,4.46,,0.80938,1.4100,2.46
1,1,K1.5 V,5186.00,0.80,0.76,-0.070,[Fe/H],-0.367,4.41,7.200,2.21458,4.0000,33.03
1,1,K5 V,4300.00,0.71,0.43,-0.260,[Fe/H],-0.775,4.36,5.610,2.92932,3.0000,-9.49
1,1,F8,6064.00,1.38,1.34,0.010,[Fe/H],0.376,4.28,5.600,0.55980,4.5000,18.60
2,1,F8,5939.00,1.46,1.21,0.220,[Fe/H],0.380,4.18,3.610,0.35125,4.2000,30.74
1,2,G1 V,5863.00,1.05,1.02,0.018,[Fe/H],0.072,4.40,4.600,1.23300,2.4000,19.74
1,2,G1 V,5863.00,1.05,1.02,0.018,[Fe/H],0.072,4.40,4.600,1.23300,2.4000,19.74
1,1,F7 V,6210.00,1.88,1.42,0.202,[Fe/H],0.660,4.02,2.240,0.38025,12.8000,7.66
2,1,F5,6389.05,1.50,1.28,0.147,[M/H],0.530,4.19,,0.53229,26.9000,17.30
1,1,K1 III,4805.00,8.80,1.66,0.040,[Fe/H],1.560,2.66,,,,10.75
3,1,G,5770.00,1.55,1.12,-0.170,[Fe/H],0.960,4.10,,,7.5000,20.88
1,1,K0,4915.00,0.79,0.66,0.050,[Fe/H],-0.498,4.47,9.800,2.22751,2.1700,9.30
1,1,G5,5392.00,2.20,1.26,0.340,[Fe/H],0.497,3.88,5.370,0.15836,2.2000,-3.45
1,1,G0,5955.00,1.10,1.27,-0.130,[Fe/H],0.131,4.46,2.310,1.17883,3.2100,23.29
1,1,G5,5576.00,1.75,1.16,0.421,[Fe/H],0.425,4.02,7.530,0.30500,2.6000,2.35
2,1,F7 V,6291.00,2.13,1.86,0.224,[M/H],0.796,4.07,1.880,0.17589,9.5000,-5.60
1,1,G5V,5599.00,0.92,0.84,-0.240,[Fe/H],-0.143,4.48,4.400,1.95613,0.0000,26.85
1,1,G8 IV,5577.00,1.67,1.03,0.390,[Fe/H],0.382,4.03,9.000,0.28402,2.1000,23.25
1,2,G6 V,5744.00,1.14,1.15,0.270,[Fe/H],0.020,4.39,2.550,0.95143,2.7190,-4.33
1,2,G6 V,5744.00,1.14,1.15,0.270,[Fe/H],0.098,4.39,2.550,0.95143,2.7190,-4.33
1,1,G2/G3 V,5770.00,1.58,1.08,-0.080,[Fe/H],0.406,4.00,7.750,0.36375,2.6160,4.50
1,1,K3 V,4995.00,0.85,0.70,0.150,[Fe/H],-0.387,4.26,1.000,2.04813,0.9000,43.38
1,2,G5 V,5793.00,1.00,1.00,0.090,[Fe/H],0.041,4.53,,1.51723,4.0000,21.71
1,2,G5 V,5793.00,1.00,1.00,0.090,[Fe/H],0.041,4.53,,1.51723,4.0000,21.71
1,1,K0,4798.00,4.20,1.11,0.120,[M/H],0.993,3.22,,,,2.91
1,1,A8 III,7595.00,1.49,1.60,0.140,[Fe/H],0.821,4.34,0.017,0.75944,17.1400,
1,2,G8/K0 IV,4918.00,5.08,1.54,0.050,[Fe/H],1.130,3.24,2.500,,1.7100,8.44
1,2,G8/K0 IV,4918.00,5.08,1.54,0.050,[Fe/H],1.125,3.24,1.850,,1.7100,8.44
1,1,K0,4218.00,41.01,3.70,-0.180,[Fe/H],2.280,1.78,5.500,,2.6000,-16.30
1,1,K0.5 V,5212.00,0.87,0.83,0.040,[Fe/H],-0.310,4.54,5.080,1.68654,1.2300,96.58
1,2,M1.5 V,3719.95,0.37,0.39,-0.361,[Fe/H],-1.710,4.90,,9.60131,2.0000,-84.65
1,1,K0 V,5312.00,0.84,0.70,0.410,[Fe/H],-0.242,4.43,10.000,1.52053,,1.72
1,1,G6 V,5020.00,4.75,1.37,-0.300,[Fe/H],1.104,3.33,9.000,,0.8700,-1.18
1,1,K2 III,3943.00,51.10,10.94,-0.240,[Fe/H],2.860,2.06,4.067,,,-37.45
2,1,G5,5733.00,1.94,1.27,0.340,[Fe/H],0.570,3.99,4.850,0.19703,3.8000,12.05
1,1,K0,4725.00,7.43,0.96,-0.450,[Fe/H],1.470,2.76,,,1.9000,-36.62
1,1,Be9.5/AO,10000.00,2.25,2.40,,,1.602,4.14,0.003,0.30250,,
1,1,K1,5175.00,0.74,0.89,-0.300,[Fe/H],-0.434,4.49,6.000,3.06000,0.5000,-1.39
1,1,K0 III/IV,4925.00,4.60,1.41,-0.020,[Fe/H],1.049,3.36,4.000,,0.3000,-10.30
1,1,G3/G5 V,5790.00,1.01,1.03,0.050,[Fe/H],-0.066,4.51,2.420,1.37018,2.2180,4.27
2,1,G5,5271.00,0.93,0.92,0.360,[Fe/H],-0.220,4.47,7.390,1.64899,,-3.35
1,1,G8/K0 IV,5282.00,0.98,0.76,0.350,[Fe/H],-0.172,4.34,1.000,1.31503,1.8600,33.34
2,1,K2 V,4815.00,0.83,0.48,0.240,[Fe/H],-0.475,4.28,4.800,2.83673,0.4100,3.10
1,2,K0,4862.00,5.52,1.46,0.140,[Fe/H],1.188,3.09,2.100,,0.8900,-30.07
1,2,K0,4862.00,5.40,1.72,0.020,[Fe/H],1.302,3.20,2.100,,0.8900,-30.07
1,1,K2 III,4780.00,10.31,2.10,0.310,[Fe/H],1.670,2.94,,,,-83.50
1,1,M0 V,4006.00,0.51,0.63,,,-1.163,4.73,,4.94910,,-10.03
1,1,K1 III,4945.00,11.60,2.42,0.030,[Fe/H],1.870,2.60,,,2.0000,-0.17
1,1,G5,5180.00,0.83,0.78,-0.260,[Fe/H],-0.319,4.43,,2.23381,2.7000,-63.68
2,1,G5,5530.00,0.97,0.87,-0.120,[Fe/H],-0.079,4.45,,1.45440,2.7000,-70.00
1,1,K0 III,4823.00,5.27,1.39,0.060,[Fe/H],1.140,2.99,3.400,,3.3000,
2,1,K1,5089.00,0.72,0.81,-0.160,[Fe/H],-0.471,4.59,2.000,3.00000,2.0000,-3.06
1,1,M0,3901.00,0.65,0.69,-0.140,[Fe/H],-1.003,4.65,,3.02935,,
1,3,G5,5544.00,1.07,1.01,0.240,[Fe/H],-0.010,4.32,5.840,1.27778,0.5400,-4.75
1,3,G5,5544.00,1.07,1.01,0.240,[Fe/H],-0.010,4.22,5.840,1.27778,0.5400,-4.75
1,3,G5,5544.00,1.07,1.01,0.240,[Fe/H],-0.010,4.22,5.840,1.27778,0.5400,-4.75
1,1,K2 V,4881.00,0.77,0.79,,,-0.514,4.52,,2.11071,,11.08
1,2,M0,4086.30,0.63,0.61,,,-1.062,4.63,,3.49087,,62.88
1,2,M0,4086.30,0.63,0.61,,,-1.062,4.63,,3.49087,,62.88
1,5,F6,6226.00,1.34,1.17,-0.110,[Fe/H],0.396,4.18,4.279,0.68000,7.1300,50.42
1,5,F6,6226.00,1.34,1.17,-0.110,[Fe/H],0.396,4.18,4.279,0.68000,7.1300,50.42
1,5,F6,6226.00,1.34,1.17,-0.110,[M/H],0.396,4.20,4.279,0.68000,7.1300,50.42
1,5,F6,6226.00,1.34,1.17,-0.110,[Fe/H],0.396,4.18,4.279,0.68000,7.1300,50.42
1,5,F6,6226.00,1.34,1.17,-0.110,[M/H],0.396,4.20,4.279,0.68000,7.1300,50.42
1,1,K7V,4010.00,0.60,0.62,,,-1.034,4.62,,3.27404,,
1,1,M0.5 Ve,4015.50,0.60,0.58,,,-1.156,4.66,,3.90213,,14.99
1,2,,4962.00,0.75,0.78,0.100,[Fe/H],-0.959,4.37,6.000,2.56445,,15.28
1,2,,4813.00,0.75,0.78,0.170,[M/H],-0.561,4.58,6.000,2.56445,,15.28
1,2,K5 V,4021.00,0.56,0.57,,,-1.222,4.68,,4.36601,,-4.37
1,2,K5 V,4021.00,0.56,0.57,,,-1.222,4.68,,4.36601,,-4.37
1,1,K1 III,4769.00,4.93,1.04,-0.030,[Fe/H],1.050,2.91,9.150,,3.1000,
1,3,K4 V,4510.00,0.78,0.29,0.010,[Fe/H],0.190,4.11,7.870,1.96681,0.5000,-4.70
1,3,K4 V,4640.00,0.68,0.73,0.090,[Fe/H],0.190,4.71,7.870,1.96681,0.5000,-4.70
1,3,K4 V,4640.00,0.68,0.73,0.090,[Fe/H],0.190,4.71,7.870,1.96681,0.5000,-4.70
1,1,G8,4830.00,10.28,1.54,-0.310,[Fe/H],1.630,2.53,,,3.7000,72.82
2,1,K4 V,4590.00,0.72,0.78,0.180,[Fe/H],-0.678,4.61,4.100,2.89800,2.5000,21.04
1,2,K0,5460.00,0.95,0.93,0.250,[Fe/H],-0.186,4.47,,1.57198,2.8000,-8.72
1,2,K0,5460.00,0.95,0.93,0.250,[Fe/H],-0.186,4.47,,1.57198,2.8000,-8.72
1,1,A2 V,8840.00,1.77,1.96,,,1.269,4.32,0.014,0.62073,299.0000,-5.20
1,1,K0 III,5000.00,8.93,2.50,0.160,[Fe/H],1.650,2.90,,,2.5000,1.43
1,1,G1 V,5675.00,1.38,1.22,0.000,,0.243,4.20,0.017,0.65000,54.2000,7.41
1,1,K1 III,4985.00,8.69,2.41,0.150,[Fe/H],1.617,2.85,,,2.3000,-3.08
1,2,K0 III,4890.00,5.92,1.63,0.000,[Fe/H],1.244,3.15,,,1.8000,5.58
1,2,K0 III,4890.00,5.92,1.63,0.000,[Fe/H],1.244,3.15,,,1.8000,5.58
2,1,K7 V,4105.00,0.63,0.63,,,-1.048,4.62,3.000,3.41279,1.9300,-0.03
1,1,M1,4146.00,0.68,0.66,,,-0.908,4.54,,2.52341,,71.08
1,1,K1 III,4850.00,5.77,1.74,0.200,[Fe/H],1.215,3.10,,,2.2000,0.21
1,1,K0 III,4891.00,4.53,1.28,-0.010,[Fe/H],1.020,3.09,4.300,,3.1000,
1,1,B9 V,10500.00,2.11,2.50,-0.500,[Fe/H],1.368,4.13,0.005,0.32956,144.7400,
2,1,B9 V,9193.75,,3.75,,,,,0.010,,,
1,1,M3 V,3420.00,0.48,0.48,,,-1.549,4.76,,6.12742,,
2,1,K2 III/IV,4670.00,7.83,1.17,-0.150,[Fe/H],1.405,2.70,,,1.3000,6.61
1,1,K1 III,4883.00,3.94,1.30,0.170,[Fe/H],0.890,3.32,4.550,,3.5000,
1,1,G5 V,5519.00,0.89,0.97,0.230,[Fe/H],-0.222,4.53,2.400,1.91925,3.5000,-9.45
1,1,K0,5020.00,5.34,1.93,0.290,[Fe/H],1.204,3.26,,,2.2000,-63.46
1,1,G0V,5927.14,1.01,1.08,-0.036,[M/H],0.055,4.46,3.100,1.47538,8.7300,-17.20
1,1,F5 V,6785.00,1.47,1.30,0.020,[M/H],0.531,4.40,0.600,0.70259,43.5100,26.69
2,1,G0 V,5794.00,1.53,1.07,0.100,[Fe/H],0.397,4.02,7.700,0.43147,3.0000,-30.42
1,1,G0V,6167.00,1.13,1.34,0.160,[Fe/H],0.253,4.46,2.720,1.05010,6.5000,17.01
2,3,F6 V,6201.00,1.31,1.15,-0.140,[Fe/H],0.371,4.26,,0.71700,8.3000,10.07
2,3,F6 V,6201.00,1.31,1.15,-0.140,[Fe/H],0.371,4.26,,0.71700,8.3000,10.07
2,3,F6 V,6201.00,1.31,1.15,-0.140,[Fe/H],0.371,4.26,,0.71700,8.3000,10.07
1,4,A5,7204.58,1.49,1.61,-0.650,[Fe/H],0.733,4.30,0.030,0.68153,34.7900,
1,4,A5,7204.58,1.49,1.61,-0.650,[Fe/H],0.733,4.30,0.030,0.68153,34.7900,
1,4,A5,7204.58,1.49,1.61,-0.650,[Fe/H],0.733,4.30,0.030,0.68153,34.7900,
1,4,A5,7400.00,1.49,1.51,-0.500,[Fe/H],0.733,4.00,0.030,0.68153,34.7900,
2,2,,5952.00,,0.88,,,,,,,,
2,2,,5952.00,,0.88,,,,,,,,
3,1,,8868.67,,0.48,,,,,,,,
1,1,,4740.10,10.27,2.10,0.120,[Fe/H],1.636,2.52,1.140,,,-30.13
1,1,F9,5620.00,0.98,0.92,-0.070,[Fe/H],-0.101,4.50,,1.38000,3.0000,8.20
1,1,G0 V,5945.00,1.24,1.15,0.220,[Fe/H],0.250,4.33,0.750,0.85000,14.0000,33.60
1,1,K3,4819.00,0.73,0.80,0.140,[Fe/H],-0.595,4.51,0.790,2.92000,3.9000,34.31
1,1,K5,4695.00,0.71,0.77,0.140,[Fe/H],-0.657,4.53,0.790,3.03000,3.0000,34.85
1,1,M2.5e,3546.46,0.49,0.43,0.140,[Fe/H],-1.434,4.74,0.790,5.56106,2.6000,34.81
1,1,K1,5464.00,0.91,0.99,0.250,[Fe/H],-0.189,4.51,0.600,1.54100,1.7600,-32.26
1,1,F9 IV,6061.00,1.81,1.30,0.140,[Fe/H],0.464,4.04,4.250,0.45700,4.6000,-8.36
1,1,,5599.00,1.76,1.17,0.360,[Fe/H],0.405,4.02,7.800,0.80600,2.0000,
1,1,G8,5433.00,5.15,1.35,-0.120,[Fe/H],-0.310,4.56,,2.11399,,
1,1,K3 V,4950.00,0.71,0.75,-0.210,[Fe/H],-0.567,4.61,8.000,3.51500,,-21.63
1,2,G2,5775.00,1.25,0.84,-0.460,[Fe/H],0.279,4.25,12.300,0.60000,1.1000,-16.28
1,2,G2,5775.00,1.25,0.84,-0.460,[Fe/H],0.119,4.25,12.300,0.60000,1.1000,-16.28
1,1,G,5660.00,1.24,1.04,0.270,[Fe/H],0.009,4.27,5.900,0.98700,2.0600,
1,1,,5044.00,0.84,0.89,0.390,[Fe/H],-0.395,4.54,9.900,1.65500,,
1,1,G4,5657.00,0.88,0.95,-0.100,[Fe/H],-0.145,4.53,10.700,2.66300,,
1,1,,4348.35,0.67,0.69,0.010,[Fe/H],-0.734,4.64,,2.18936,,-18.91
1,2,M1.0 V,3778.00,0.51,0.54,-0.050,[Fe/H],-1.357,4.75,,5.29700,,
1,2,M1.0 V,3778.00,0.51,0.54,-0.050,[Fe/H],-1.357,4.75,,5.29700,,
1,1,,4726.29,0.73,0.76,0.129,[M/H],-0.526,4.53,,2.22691,,
1,1,,4740.00,0.71,0.76,-0.050,[Fe/H],-0.685,4.62,,2.25100,,
1,1,F9,5800.00,1.01,1.01,0.030,[Fe/H],0.072,4.30,,0.84625,,18.85
1,1,,4349.90,0.67,0.69,-0.303,[M/H],-0.664,,,,,
1,1,,4551.00,0.68,0.72,-0.040,[Fe/H],-0.745,4.63,,6.53200,,30.15
2,1,M0,4027.00,0.60,0.62,0.060,[Fe/H],-1.102,4.68,,6.93900,,-14.35
1,1,,4035.00,0.59,0.62,0.030,[Fe/H],-1.143,4.69,,4.51100,,
1,1,,3570.00,0.39,0.39,0.023,[Fe/H],-1.659,4.86,,9.58000,,
1,1,,3654.47,0.40,0.49,,,-1.641,4.83,,8.77693,,
1,1,,4339.00,0.65,0.69,0.020,[Fe/H],-0.878,4.66,,2.90300,,1.00
1,1,,4575.00,0.66,0.72,-0.110,[Fe/H],-0.254,4.65,,2.21100,,
1,1,,4469.51,0.78,0.71,-0.260,[Fe/H],-0.766,4.70,,3.00478,,-13.21
1,1,,3459.09,0.36,0.36,,,-1.828,4.87,,10.66281,,
1,1,G3,5698.00,0.78,0.80,-0.540,[Fe/H],-0.135,4.33,,1.72012,,15.45
1,1,,4356.47,0.74,0.70,-0.240,[Fe/H],-0.776,4.62,,2.72247,,-49.60
1,1,,5245.00,0.75,0.84,-0.170,[Fe/H],-0.448,4.61,,2.71000,4.3000,-5.27
1,1,,4840.00,3.85,1.08,-0.010,[Fe/H],0.943,3.30,8.500,0.02640,3.3600,10.37
1,4,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,107.20
1,4,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,107.20
1,4,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,107.20
1,4,M1.5 V,3655.00,0.46,0.46,,,-1.479,4.77,,6.63020,,107.20
2,3,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,39.76
2,3,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,39.76
2,3,K5.5,4499.00,0.66,0.74,0.150,[Fe/H],-0.788,4.66,0.688,3.52000,3.0000,39.76
1,1,M3 V,3492.00,0.44,0.46,0.080,[Fe/H],-1.484,4.82,,13.00000,,
1,6,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,0.64
1,6,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,0.64
1,6,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,0.64
1,6,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,0.64
1,6,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,0.64
1,6,G8 V,5356.30,0.86,0.94,0.140,[M/H],-0.287,4.54,2.800,2.06400,2.7000,0.64
1,1,K0 V,5370.00,0.88,0.96,0.240,[Fe/H],-0.299,4.54,1.800,2.47700,2.8000,-31.36
1,1,M0,3789.00,0.45,0.47,-0.370,[Fe/H],-1.031,4.61,,3.24180,,
1,1,G6 V,5585.00,1.06,0.96,0.100,[Fe/H],-0.049,4.40,9.800,1.13300,3.6000,1.22
1,2,K7 V,4599.00,0.68,0.71,-0.060,[Fe/H],-0.750,4.62,6.300,3.16400,3.0000,-3.62
1,2,K7 V,4599.00,0.68,0.71,-0.060,[Fe/H],-0.750,4.62,6.300,3.16400,3.0000,-3.62
1,2,M3.0 V,3385.00,0.33,0.33,-0.020,[Fe/H],-1.824,4.90,5.000,13.10000,2.0000,40.60
1,2,M3.0 V,3385.00,0.33,0.33,-0.020,[Fe/H],-1.824,4.91,5.000,13.10000,2.0000,40.60
1,1,,3672.00,0.55,0.58,0.190,[Fe/H],-1.292,4.72,,4.23530,,-24.15
2,3,,4079.00,0.63,0.65,-0.110,[Fe/H],-0.996,4.65,,2.94262,,1.52
2,3,,4079.00,0.63,0.65,-0.110,[Fe/H],-0.996,4.65,,2.94262,,1.52
2,3,,4079.00,0.63,0.65,-0.110,[Fe/H],-0.996,4.65,,2.94262,,1.52
1,1,M1.0 V,3745.00,0.57,0.59,0.110,[Fe/H],-1.310,4.71,,3.93217,,
1,1,G8,5131.00,0.68,0.72,-0.460,[Fe/H],-0.453,4.57,,1.89114,,
1,1,M2.5 V,3499.00,0.44,0.46,0.090,[Fe/H],-1.585,4.82,,8.03564,,
2,1,M1.5 V,3695.00,0.45,0.47,-0.190,[Fe/H],-1.553,4.80,,6.73600,,-49.63
1,1,M0.0 V,4044.00,0.61,0.63,0.120,[Fe/H],-1.060,4.67,,3.49448,,-6.70
1,1,M3.0 V,3845.00,0.53,0.55,-0.090,[Fe/H],-1.367,4.73,,4.87969,,
1,2,M0.0 V,4097.00,0.63,0.65,0.210,[Fe/H],-1.018,4.65,,3.24997,,14.30
1,2,M0.0 V,4097.00,0.63,0.65,0.210,[Fe/H],-1.018,4.65,,3.24997,,14.30
1,3,K7,4258.00,0.58,0.65,-0.300,[Fe/H],-1.229,4.60,,5.41000,,19.10
1,3,K7,4258.00,0.58,0.65,-0.300,[Fe/H],-1.229,4.60,,5.41000,,19.10
1,3,K7,4258.00,0.58,0.65,-0.300,[Fe/H],-1.229,4.60,,5.41000,,19.10
1,1,,4597.00,0.66,0.66,-0.250,[Fe/H],-0.798,4.62,,2.68452,1.8000,-6.79
1,1,,5456.00,0.88,0.94,0.130,[Fe/H],-0.210,4.55,,1.67926,,43.90
1,2,,5503.00,0.95,0.92,0.070,[Fe/H],-0.157,4.45,,1.57526,,-36.00
1,2,,5503.00,0.95,0.92,0.070,[Fe/H],-0.157,4.45,,1.57526,,-36.00
1,1,,5425.00,0.83,0.90,-0.070,[Fe/H],-0.289,4.56,,2.78420,,16.42
1,3,K3 V,4742.00,0.66,0.68,-0.330,[Fe/H],-0.761,4.51,,2.95996,2.0000,
1,3,K3 V,4742.00,0.66,0.68,-0.330,[Fe/H],-0.761,4.51,,2.95996,2.0000,
1,1,,5649.00,0.91,0.98,0.070,[Fe/H],-0.137,4.61,,1.93062,,-10.34
1,1,,4972.00,2.57,0.99,-0.030,[Fe/H],0.919,3.63,,,,-19.13
1,1,,4842.00,0.69,0.75,-0.170,[Fe/H],-0.610,4.63,,1.97721,,-30.70
1,1,,4937.00,0.76,0.83,0.140,[Fe/H],-0.541,4.71,,2.30261,,22.27
1,1,,5791.00,2.20,1.18,-0.230,[Fe/H],0.590,3.81,,0.22794,,-21.23
1,3,,5185.00,0.80,0.83,-0.050,[Fe/H],-0.370,4.46,,2.08241,,-0.30
1,3,,5185.00,0.80,0.83,-0.050,[Fe/H],-0.370,4.46,,2.08241,,-0.30
1,3,,5185.00,0.80,0.83,-0.050,[Fe/H],-0.370,4.46,,2.08241,,-0.30
1,2,,5960.00,1.61,1.16,0.090,[Fe/H],0.462,4.09,,0.42293,,
1,1,F7 V,5908.00,1.83,1.02,-0.450,[Fe/H],0.442,3.88,,0.51347,,-17.38
1,2,,5502.70,0.83,0.88,-0.130,[Fe/H],-0.176,4.46,,1.27040,,-10.09
1,1,,5548.00,0.92,0.99,0.260,[Fe/H],-0.161,4.56,,1.49832,,-8.15
1,1,K7,4320.00,0.66,0.71,0.150,[Fe/H],-0.910,4.80,,2.41242,,-10.67
1,2,,5748.00,0.98,0.96,-0.110,[Fe/H],0.072,4.34,,1.26996,,-5.31
1,2,,5748.00,0.98,0.96,-0.110,[Fe/H],0.072,4.34,,1.26996,,-5.31
1,1,,5250.00,1.72,0.89,-0.090,[Fe/H],0.516,3.95,,,,-9.97
1,2,,5569.00,0.87,0.93,-0.060,[Fe/H],-0.232,4.61,,2.18110,,22.44
1,2,,5569.00,0.87,0.93,-0.060,[Fe/H],-0.202,4.61,,2.18110,,22.44
1,1,,5580.00,0.84,0.88,-0.250,[Fe/H],-0.060,4.52,,1.38095,,102.96
1,1,,4455.00,0.68,0.70,0.113,[Fe/H],-0.773,4.62,,3.21000,,-0.67
1,1,,5909.00,1.42,1.09,0.050,[Fe/H],0.419,4.11,,0.32560,,-32.58
1,1,,5428.00,0.86,0.94,0.150,[Fe/H],-0.348,4.63,,1.28310,,-27.30
1,1,,6063.00,1.21,1.21,0.410,[Fe/H],0.342,4.38,,0.33260,,19.77
1,1,,5525.00,0.89,0.95,0.090,[Fe/H],-0.284,4.55,,2.14054,,0.39
1,1,,5015.00,0.77,0.82,0.030,[Fe/H],-0.523,4.63,,3.34951,,-1.93
1,2,M2.5 V,3457.00,0.41,0.36,0.120,[Fe/H],-1.597,4.79,,7.07318,,0.65
1,2,M2.5 V,3457.00,0.41,0.36,0.090,[Fe/H],-1.597,4.79,,7.07318,,0.65
1,1,K2 V,5110.00,0.69,0.71,-0.650,[Fe/H],-0.439,4.30,9.500,3.03900,2.1000,-76.86
1,1,,5608.00,1.07,0.99,0.230,[Fe/H],-0.013,4.38,,2.63900,,-60.38
1,1,,5165.00,0.80,0.88,0.090,[Fe/H],-0.392,4.58,,2.25600,,22.98
1,3,,5482.00,0.87,0.94,0.090,[Fe/H],-0.138,4.60,,1.47406,,92.34
1,3,,5519.00,0.97,0.93,0.090,[Fe/H],-0.132,4.43,,1.47406,,92.34
1,3,,5519.00,0.97,0.93,0.090,[Fe/H],-0.138,4.43,,1.47406,,92.34
1,1,,5220.00,0.78,0.86,-0.070,[Fe/H],-0.399,4.59,,6.96600,,-33.64
1,1,,5722.00,0.91,0.98,-0.050,[Fe/H],-0.090,4.58,,2.10670,,-7.04
1,1,,5784.00,0.98,1.02,0.060,[Fe/H],0.050,4.45,,1.18284,,-13.70
1,4,,5484.00,0.92,0.98,0.230,[Fe/H],-0.210,4.50,,1.68230,,
1,4,,5484.00,0.92,0.98,0.230,[Fe/H],-0.210,4.50,,1.68230,,
1,4,,5484.00,0.92,0.98,0.230,[Fe/H],-0.196,4.50,,1.68230,,
1,4,,5484.00,0.92,0.98,0.230,[Fe/H],-0.210,4.50,,1.68230,,
1,2,,5977.00,1.19,1.06,-0.010,[Fe/H],0.184,4.31,,0.83646,,-34.21
1,2,,5977.00,1.19,1.06,-0.010,[Fe/H],0.211,4.31,,0.83646,,-34.21
1,2,,5519.00,0.87,0.94,0.000,[Fe/H],-0.239,4.53,,2.07235,,15.96
1,2,,5519.00,0.87,0.94,0.000,[Fe/H],-0.219,4.53,,2.07235,,15.96
1,3,G9 V,5430.00,0.86,0.93,0.100,[Fe/H],-0.292,4.63,8.000,1.76000,2.0000,7.31
1,3,G9 V,5430.00,0.86,0.93,0.100,[Fe/H],-0.305,4.63,8.000,1.76000,2.0000,7.31
1,3,G9 V,5430.00,0.86,0.93,0.100,[Fe/H],-0.305,4.63,8.000,1.76000,2.0000,7.31
1,2,,5631.00,0.91,0.90,-0.190,[Fe/H],-0.068,4.38,,1.48160,,-10.64
1,2,,5631.00,0.91,0.90,-0.190,[Fe/H],-0.086,4.38,,1.48160,,-10.64
1,1,,5176.00,0.84,0.90,0.310,[Fe/H],-0.345,4.57,,1.65547,,-7.23
1,1,,5222.00,0.81,0.90,0.150,[Fe/H],-0.360,4.57,,5.97500,,0.95
1,1,,5817.00,0.98,1.01,0.000,[Fe/H],-0.076,4.46,,1.53200,,
1,1,,5979.00,1.28,1.11,0.100,[Fe/H],0.363,4.21,,0.75033,,-7.95
1,2,,5713.00,0.99,0.94,-0.100,[Fe/H],-0.012,4.42,,1.09000,,-14.45
1,2,,5712.00,0.91,0.96,-0.090,[Fe/H],-0.053,4.55,,1.48050,,-14.45
1,1,,6045.00,1.54,1.16,0.010,[Fe/H],0.644,4.08,,0.19854,,-28.27
1,1,,5667.00,0.93,1.00,0.080,[Fe/H],-0.114,4.50,,1.16000,,-7.88
1,3,,5212.90,0.76,0.80,0.094,[M/H],-0.401,4.60,,2.59636,,2.07
1,3,,5212.90,0.76,0.80,0.094,[M/H],-0.401,4.60,,2.59636,,2.07
1,3,,5212.90,0.76,0.80,0.094,[M/H],-0.401,4.60,,2.59636,,2.07
1,2,,4648.00,0.68,0.73,-0.110,[Fe/H],-0.721,4.64,,2.92839,,1.07
1,2,,4648.00,0.68,0.73,-0.110,[Fe/H],-0.721,4.64,,2.92839,,1.07
1,1,,5233.00,0.79,0.86,-0.040,[Fe/H],-0.429,4.71,,2.23187,,-15.33
1,2,,5507.00,0.88,0.96,0.130,[Fe/H],-0.276,4.68,,1.87336,,
1,2,,5507.00,0.88,0.96,0.130,[Fe/H],-0.276,4.68,,1.87336,,
1,1,,5491.00,0.91,0.97,0.270,[Fe/H],-0.335,4.55,,1.75012,,28.10
1,1,,5000.00,0.76,0.79,-0.070,[Fe/H],-0.485,4.43,,2.65477,,20.19
1,1,,5755.00,1.18,1.01,0.070,[Fe/H],0.253,4.23,,0.70142,,
1,1,,5890.00,1.08,0.95,-0.260,[Fe/H],0.194,4.25,,0.75459,,19.70
1,1,,5043.00,0.76,0.79,-0.140,[Fe/H],-0.435,4.46,,2.39350,,27.24
1,1,,5522.00,0.93,0.94,0.110,[Fe/H],-0.173,4.41,,1.85898,,-4.39
