pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
7 CMa b,7 CMa,1,2,0,735.1,1.758,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),0.06,,,0,K1 III,4826,4.87,1.34,0.21,[Fe/H],1.063,3.19,4.3,,1.15,,,3.67853
7 CMa c,7 CMa,1,2,0,996,2.153,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.08,,,0,K1III(+M),4826,4.87,1.34,0.21,[Fe/H],1.063,3.19,4.3,,1.15,,,3.67853
70 Vir b,70 Vir,1,1,0,116.688,0.481,12.6,1.13,2380.45,7.49,Mass,0.3988,,,0,G5V,5495,1.89,1.09,-0.09,[Fe/H],0.451,3.95,7.77,0.19024,1.56,,4.95,4.76178
8 UMi b,8 UMi,1,1,0,93.4,0.49,13.6,1.22,416.3573,1.31,Msini,0.06,,,0,K0,4847,10.3,1.44,-0.03,[Fe/H],1.725,2.57,1.7,,3.6,,-9.2,6.55896
81 Cet b,81 Cet,1,1,0,952.7,2.5,12.8,1.14,1684.4,5.3,Msini,0.206,,,0,G5 III,4785,11,2.4,-0.06,[Fe/H],1.778,2.35,,,1.8,,9.25,5.37588
AB Pic b,AB Pic,1,1,0,,260,12.3,1.1,4290.5,13.5,Mass,,,,0,K2 V,5285,1,0.9,0.04,[Fe/H],-0.226,4.53,0.03,1.12014,10.35,,22.2,8.8378
AU Mic b,AU Mic,1,1,0,8.46321,0.066,4.203,0.375,57.2094,0.18,Msini,0.1,,,0,M1VE,3700,0.75,0.5,,,-1.046,4.57,0.022,2.74466,8.7,4.86,-6.31,7.84038
BD+03 2562 b,BD+03 2562,1,1,0,481.9,1.3,12.7,1.13,2034.112,6.4,Msini,0.2,,,0,,4095,32.35,1.14,-0.71,[Fe/H],2.7,1.89,5.2,,2.7,,50.88,8.9977
BD+14 4559 b,BD+14 4559,1,1,0,268.94,0.78,13.8,1.23,330.5432,1.04,Msini,0.29,,,0,K2 V,4864,0.86,0.49,0.17,[Fe/H],-0.32,4.26,,1.73113,2.5,,-44.3,9.35108
BD+15 2375 b,BD+15 2375,1,1,0,153.22,0.576,13.8,1.23,337.21763,1.061,Msini,0.001,,,0,G5,4649,8.95,1.08,-0.22,[Fe/H],1.57,2.61,7.41,,2.5,,-9.65,9.9918
BD+15 2940 b,BD+15 2940,1,1,0,137.48,0.539,13.7,1.23,352.78,1.11,Msini,0.26,,,0,K0,4796,14.7,1.1,0.28,[Fe/H],2.01,2.8,7.1,,2.3,,36.71,8.7178
BD+20 2457 b,BD+20 2457,1,2,0,379.63,1.05,11.6,1.03,17668.1697,55.59,Msini,0.15,,,0,K2 II,4259,71.02,10.83,-0.79,[Fe/H],3.17,1.77,,,2.5,,145.77,9.22684
BD+20 2457 c,BD+20 2457,1,2,0,621.99,2.01,12.4,1.1,3963.17,12.47,Msini,0.18,,,0,K2 II,4137,49,2.8,-1,[Fe/H],3.17,1.51,,,2.5,,145.77,9.22684
BD+20 274 b,BD+20 274,1,1,0,578.2,1.3,13,1.16,1334.886,4.2,Msini,0.21,,,0,K5 III,4296,17.3,0.8,-0.46,[Fe/H],1.96,1.99,,,2,,8.39,8.91613
BD+20 594 b,BD+20 594,1,1,0,41.6855,0.241,2.578,0.23,22.2481,0.07,Mass,0,,546,0,G,5766,1.08,1.67,-0.15,[Fe/H],-0.056,4.5,3.34,1.89,3.3,,-20.34,10.8644
