default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
0,2,5,14.65162000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
1,2,5,14.65160000,,,,5172.00,0.94,0.91,0.350,[Fe/H],,4.43,,,1.2300,38.80,
0,2,5,14.65126000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,14.65100000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,14.65152000,,,263.97850,,,0.95,,,,,,,,,
0,2,5,14.64700000,,,,,,,,,,,,,,,27.25
0,2,5,44.34460000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,43.93000000,,,,,,0.95,,,,,,,,,
0,2,5,44.38270000,,,,5317.89,0.96,0.97,0.383,[Fe/H],,4.46,,,,,
0,2,5,44.38000000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,44.37300000,,,56.69850,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,44.37870000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,44.41750000,,,54.47380,,,0.95,,,,,,,,,
1,2,5,44.39890000,,,,5172.00,0.94,0.91,0.350,[Fe/H],,4.43,,,1.2300,38.80,
1,2,5,5574.20000000,,,,5172.00,0.94,0.91,0.350,[Fe/H],,4.43,,,1.2300,38.80,
0,2,5,5370.00000000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,4820.00000000,,,,5317.89,0.96,0.97,0.383,[Fe/H],,4.46,,,,,
0,2,5,4517.40000000,,,,,,0.95,,,,,,,,,
0,2,5,5360.00000000,,,,,,0.95,0.270,[Fe/H],,,5.500,,,38.50,
0,2,5,4867.00000000,,,1226.77000,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,4825.00000000,,,1232.49300,,,0.95,,,,,,,,,
0,2,5,4909.00000000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,4545.00000000,,,,,,,,,,,,,,,27.25
0,2,5,5218.00000000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,,1.920,0.171,8.08000,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,0.73654450,,,,5317.89,0.96,0.97,0.383,[Fe/H],,4.46,,,,,
0,2,5,0.73700000,1.897,0.169,7.74000,5172.00,0.95,0.87,0.350,[Fe/H],,4.43,,1.4100,,,
0,2,5,0.73654370,2.080,0.186,7.81000,5234.00,0.94,0.91,0.310,[Fe/H],,4.45,,,,,
0,2,5,0.73654600,2.173,0.194,8.37000,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,2.80800000,,,,,,0.95,,,,,,,,,
0,2,5,2.79674000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,0.73655150,,,8.13928,,,0.95,,,,,,,,,
0,2,5,0.73654000,2.000,0.178,8.63000,,0.94,0.96,,,,,,,,,
1,2,5,0.73654740,1.875,0.167,7.99000,5172.00,0.94,0.91,0.350,[Fe/H],,4.43,,,1.2300,38.80,
