default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
0,2,1,2.78787417,,,,4604.00,0.73,0.73,,,-0.666,4.57,,2.6389,,,
0,2,1,2.78787417,2.330,,,4827.00,1.73,0.95,0.560,[Fe/H],,3.94,,2.8107,,,
1,2,1,2.78786839,1.020,0.091,,4754.00,0.72,0.76,0.010,[Fe/H],,4.61,4.680,,,,
0,2,1,,0.918,0.082,,4820.00,0.68,,,,,,,,,,
0,1,1,65.64784240,2.490,,,5788.00,0.96,0.84,-0.360,[Fe/H],,4.40,,6.6638,,,
0,1,1,65.64808920,3.930,,,5565.00,1.25,1.01,0.320,[Fe/H],,4.25,,0.1835,,,
0,1,1,65.64784240,2.490,,,5788.00,0.96,0.84,-0.360,[Fe/H],,4.40,,6.6638,,,
0,1,1,,2.399,0.214,,5562.00,0.76,,,,,,,,,,
0,1,1,65.64823592,,,,5350.63,0.78,0.93,-0.315,[M/H],-0.342,4.62,,2.7106,,,
0,1,1,65.64784240,2.490,,,5788.00,0.96,0.84,-0.360,[Fe/H],,4.40,,6.6638,,,
0,1,1,65.64620000,2.290,,,5818.00,1.01,0.94,,,,4.40,7.000,,,,
1,1,1,65.64784240,2.220,0.198,,5470.00,0.85,0.88,-0.110,[Fe/H],,4.53,4.370,,,,
0,1,1,65.64808920,,,,5350.63,0.78,0.93,-0.315,[M/H],-0.342,4.62,,2.7106,,,
0,1,1,65.64785985,,,,5350.63,0.78,0.93,-0.315,[M/H],-0.342,4.62,,2.7106,,,
1,1,1,1.64680191,0.870,0.078,,3964.00,0.53,0.55,-0.250,[Fe/H],,4.73,3.470,,,,
0,1,1,1.64681900,1.070,,,4072.00,0.53,0.55,,,,4.74,13.800,,,,
0,1,1,1.64680168,,,,3937.00,0.61,0.59,,,-1.097,4.64,,3.7281,,,
0,1,1,1.64680079,,,,3937.00,0.61,0.59,,,-1.097,4.64,,3.7281,,,
0,1,1,1.64680168,0.860,,,3810.00,0.51,0.54,-0.020,[Fe/H],,4.75,,8.3229,,,
0,1,1,1.64680191,0.910,,,3900.00,0.54,0.56,-0.100,[Fe/H],,4.73,,6.1496,,,
0,1,1,1.64680191,0.910,,,3900.00,0.54,0.56,-0.100,[Fe/H],,4.73,,6.1496,,,
0,1,1,1.64680191,0.910,,,3900.00,0.54,0.56,-0.100,[Fe/H],,4.73,,6.1496,,,
0,1,1,,1.021,0.091,,3809.00,0.61,,,,,,,,,,
0,1,1,1.75584356,1.940,,,5569.00,0.83,0.93,-0.080,[Fe/H],,4.57,,0.2753,,,
0,1,1,1.75583533,1.680,,,5575.00,0.83,0.92,-0.080,[Fe/H],,4.56,,2.5709,,,
0,1,1,1.75584600,1.510,,,5545.00,0.81,0.91,,,,4.58,0.600,,,,
0,1,1,1.75583533,1.680,,,5575.00,0.83,0.92,-0.080,[Fe/H],,4.56,,2.5709,,,
0,1,1,1.75584356,,,,5363.00,0.83,0.93,,,-0.284,4.56,,2.2535,,,
1,1,1,1.75583533,1.730,0.154,,5470.00,0.88,0.91,0.030,[Fe/H],,4.52,4.570,,,,
0,1,1,,1.922,0.171,,5576.00,0.82,,,,,,,,,,
0,1,1,1.75583533,1.680,,,5575.00,0.83,0.92,-0.080,[Fe/H],,4.56,,2.5709,,,
0,1,2,5.18565732,,,,6388.00,1.37,1.28,,,0.452,4.27,,0.6966,,,
0,1,2,5.18560081,,,,6388.00,1.37,1.28,,,0.452,4.27,,0.6966,,,
1,1,2,5.18561420,2.340,0.209,,6327.00,1.43,1.26,0.040,[Fe/H],,4.23,2.290,,,,
0,1,2,,2.246,0.200,,6170.00,1.41,,,,,,,,,,
0,1,2,5.18561420,1.670,,,6163.00,1.02,1.09,-0.080,[Fe/H],,4.46,,0.6354,,,
0,1,2,5.18544400,1.520,,,6158.00,0.99,1.08,,,,4.48,0.300,,,,
0,1,2,5.18560081,2.340,,,6172.00,1.47,1.25,0.160,[Fe/H],,4.20,,0.6889,,,
0,1,2,5.18561420,1.670,,,6163.00,1.02,1.09,-0.080,[Fe/H],,4.46,,0.6354,,,
0,1,2,5.18561420,1.670,,,6163.00,1.02,1.09,-0.080,[Fe/H],,4.46,,0.6354,,,
0,1,2,8.45808312,1.670,,,6163.00,1.02,1.09,-0.080,[Fe/H],,4.46,,2.4874,,,
0,1,2,,2.424,0.216,,6170.00,1.41,,,,,,,,,,
0,1,2,8.45807302,,,,6388.00,1.37,1.28,,,0.452,4.27,,0.6966,,,
0,1,2,8.45808312,1.670,,,6163.00,1.02,1.09,-0.080,[Fe/H],,4.46,,2.4874,,,
1,1,2,8.45808312,2.360,0.211,,6327.00,1.43,1.26,0.040,[Fe/H],,4.23,2.290,,,,
0,1,2,8.45805119,,,,6388.00,1.37,1.28,,,0.452,4.27,,0.6966,,,
0,1,2,8.45805119,2.520,,,6172.00,1.47,1.25,0.160,[Fe/H],,4.20,,1.0723,,,
0,1,2,8.45808312,1.670,,,6163.00,1.02,1.09,-0.080,[Fe/H],,4.46,,2.4874,,,
0,1,1,33.46974300,2.150,,,5912.00,1.09,0.96,-0.140,[Fe/H],,4.34,,3.2123,,,
0,1,1,33.47025997,,,,,,,,,,,,,,,
0,1,1,33.46985710,,,,,,,,,,,,,,,
0,1,1,33.46972336,,,,,,,,,,,,,,,
0,1,1,33.46974300,2.150,,,5912.00,1.09,0.96,-0.140,[Fe/H],,4.34,,3.2123,,,
1,1,1,33.46974300,2.030,0.181,,5842.00,1.03,1.03,0.040,[Fe/H],,4.43,3.720,,,,
0,1,1,33.47025000,2.600,,,5900.00,1.12,0.97,,,,4.33,7.600,,,,
0,1,1,33.46974300,2.150,,,5912.00,1.09,0.96,-0.140,[Fe/H],,4.34,,3.2123,,,
0,1,1,33.46985710,2.450,,,5912.00,1.09,0.96,-0.140,[Fe/H],,4.34,,0.3787,,,
0,1,1,11.89520436,,,,5823.00,0.91,1.05,,,-0.068,4.54,,1.9738,,,
0,1,1,11.89520511,1.250,,,6061.00,0.94,1.01,-0.200,[Fe/H],,4.49,,2.2812,,,
0,1,1,11.89520511,1.250,,,6061.00,0.94,1.01,-0.200,[Fe/H],,4.49,,2.2812,,,
0,1,1,11.89534000,1.480,,,6056.00,0.95,1.06,,,,4.50,0.300,,,,
1,1,1,11.89520511,1.320,0.118,,5778.00,1.00,1.00,0.020,[Fe/H],,4.44,4.470,,,,
0,1,1,11.89502742,,,,5823.00,0.91,1.05,,,-0.068,4.54,,1.9738,,,
0,1,1,,1.262,0.113,,5667.00,0.94,,,,,,,,,,
0,1,1,11.89520436,1.330,,,5649.00,0.99,0.92,0.000,[Fe/H],,4.41,,2.5570,,,
0,1,1,11.89520511,1.250,,,6061.00,0.94,1.01,-0.200,[Fe/H],,4.49,,2.2812,,,
0,1,1,4.45743164,0.960,,,4487.00,0.61,0.60,-0.440,[Fe/H],,4.64,,0.5666,,,
0,1,1,4.45743164,0.960,,,4487.00,0.61,0.60,-0.440,[Fe/H],,4.64,,0.5666,,,
0,1,1,4.45742390,,,,4533.00,0.75,0.71,,,-0.675,4.55,,2.4339,,,
0,1,1,4.45743267,0.790,,,4487.00,0.61,0.60,-0.440,[Fe/H],,4.64,,2.9760,,,
0,1,1,4.45735600,0.890,,,4544.00,0.61,0.64,,,,4.67,13.800,,,,
1,1,1,4.45743164,1.090,0.097,,4679.00,0.71,0.76,0.050,[Fe/H],,4.62,3.390,,,,
0,1,1,4.45743267,,,,4533.00,0.75,0.71,,,-0.675,4.55,,2.4339,,,
0,1,1,,0.931,0.083,,4487.00,0.72,,,,,,,,,,
0,1,1,4.45743164,0.960,,,4487.00,0.61,0.60,-0.440,[Fe/H],,4.64,,0.5666,,,
1,1,1,13.53962930,2.340,0.209,,6203.00,1.95,1.41,0.180,[Fe/H],,4.01,2.880,,,,
0,1,1,13.53953595,,,,6116.64,2.34,1.15,0.080,[M/H],0.840,3.76,,0.1260,,,
0,1,1,13.53953595,2.320,,,6109.00,2.00,1.41,0.200,[Fe/H],,3.98,,1.2988,,,
0,1,1,13.53963003,,,,6116.64,2.34,1.15,0.080,[M/H],0.840,3.76,,0.1260,,,
0,1,1,,2.676,0.239,,6184.00,2.31,,,,,,,,,,
0,1,1,13.53962930,1.550,,,6398.00,1.34,1.18,-0.080,[Fe/H],,4.26,,1.2997,,,
0,1,1,13.53962930,1.550,,,6398.00,1.34,1.18,-0.080,[Fe/H],,4.26,,1.2997,,,
0,1,1,13.53996000,1.580,,,6367.00,1.31,1.16,,,,4.27,3.140,,,,
0,1,1,13.53962278,,,,6116.64,2.34,1.15,0.080,[M/H],0.840,3.76,,0.1260,,,
0,1,1,13.53962930,1.550,,,6398.00,1.34,1.18,-0.080,[Fe/H],,4.26,,1.2997,,,
1,1,1,22.70816791,2.370,0.211,,6217.00,1.28,1.19,0.040,[Fe/H],,4.30,2.750,,,,
0,1,1,22.70801000,2.000,,,6168.00,1.00,1.09,,,,4.47,0.500,,,,
0,1,1,22.70816791,1.820,,,6170.00,0.99,1.06,-0.160,[Fe/H],,4.47,,3.6697,,,
0,1,1,22.70817353,,,,5805.59,1.39,1.04,0.066,[M/H],0.298,4.17,,0.5415,,,
0,1,1,,2.186,0.195,,6177.00,1.26,,,,,,,,,,
0,1,1,22.70816791,1.820,,,6170.00,0.99,1.06,-0.160,[Fe/H],,4.47,,3.6697,,,
0,1,1,22.70823750,1.720,,,6170.00,0.99,1.06,-0.160,[Fe/H],,4.47,,4.6666,,,
0,1,1,22.70823750,,,,5805.59,1.39,1.04,0.066,[M/H],0.298,4.17,,0.5415,,,
0,1,1,22.70816791,1.820,,,6170.00,0.99,1.06,-0.160,[Fe/H],,4.47,,3.6697,,,
0,1,2,5.96871747,3.430,0.306,,6187.00,1.43,1.21,0.040,[Fe/H],,4.21,3.310,,,,
0,1,2,5.96871747,2.780,,,6484.00,1.17,1.20,-0.080,[Fe/H],,4.38,,0.7161,,,
0,1,2,5.96872190,,,,6282.00,1.37,1.23,,,0.421,4.25,,0.6739,,,
0,1,2,5.96872405,,,,6282.00,1.37,1.23,,,0.421,4.25,,0.6739,,,
1,1,2,5.96873400,3.420,0.305,,6142.00,1.45,,,,,4.20,,,,,
0,1,2,5.96872405,3.260,,,6122.00,1.44,1.12,0.020,[Fe/H],,4.17,,1.0605,,,
0,1,2,,3.191,0.285,,6220.00,1.41,,,,,,,,,,
0,1,2,5.96871747,2.780,,,6484.00,1.17,1.20,-0.080,[Fe/H],,4.38,,0.7161,,,
0,1,2,5.96871747,2.780,,,6484.00,1.17,1.20,-0.080,[Fe/H],,4.38,,0.7161,,,
0,1,2,5.96874100,2.740,,,6495.00,1.15,1.21,,,,4.40,0.340,,,,
0,1,2,5.96870839,,,,6282.00,1.37,1.23,,,0.421,4.25,,0.6739,,,
0,1,2,13.07141889,,,,6282.00,1.37,1.23,,,0.421,4.25,,0.6739,,,
0,1,2,13.07141889,2.470,,,6122.00,1.44,1.12,0.020,[Fe/H],,4.17,,1.1906,,,
0,1,2,13.07162000,2.120,,,6495.00,1.15,1.21,,,,4.40,0.340,,,,
0,1,2,13.07148900,1.850,,,6484.00,1.17,1.20,-0.080,[Fe/H],,4.38,,4.0464,,,
0,1,2,,2.422,0.216,,6220.00,1.41,,,,,,,,,,
0,1,2,13.07148900,1.850,,,6484.00,1.17,1.20,-0.080,[Fe/H],,4.38,,4.0464,,,
0,1,2,13.07148900,2.160,0.193,,6187.00,1.43,1.21,0.040,[Fe/H],,4.21,3.310,,,,
0,1,2,13.07161083,,,,6282.00,1.37,1.23,,,0.421,4.25,,0.6739,,,
1,1,2,13.07163000,2.300,0.205,,6142.00,1.45,,,,,4.20,,,,,
0,1,2,13.07148900,1.850,,,6484.00,1.17,1.20,-0.080,[Fe/H],,4.38,,4.0464,,,
0,1,2,13.07139534,,,,6282.00,1.37,1.23,,,0.421,4.25,,0.6739,,,
1,1,1,7.97034958,2.140,0.191,,5519.00,0.89,0.92,0.010,[Fe/H],,4.51,4.570,,,,
0,1,1,7.97033985,1.810,,,5774.00,0.82,0.91,-0.300,[Fe/H],,4.57,,3.7034,,,
0,1,1,7.97034958,1.970,,,5782.00,0.82,0.90,-0.300,[Fe/H],,4.56,,3.3910,,,
0,1,1,7.97083000,1.950,,,5796.00,0.87,0.97,,,,4.55,0.400,,,,
0,1,1,7.97034958,1.970,,,5782.00,0.82,0.90,-0.300,[Fe/H],,4.56,,3.3910,,,
0,1,1,7.97003744,,,,5429.00,0.76,0.95,,,-0.343,4.65,,3.0349,,,
0,1,1,7.97033985,,,,5429.00,0.76,0.95,,,-0.343,4.65,,3.0349,,,
0,1,1,7.97034958,1.970,,,5782.00,0.82,0.90,-0.300,[Fe/H],,4.56,,3.3910,,,
0,1,1,,1.610,0.144,,5780.00,0.73,,,,,,,,,,
0,1,1,10.71250013,,,,4512.48,0.77,0.71,-0.163,[M/H],-0.653,4.51,,2.1811,,,
0,1,1,10.71253475,2.020,,,4175.00,0.54,0.56,-0.460,[Fe/H],,4.71,,1.8458,,,
0,1,1,10.71243000,2.700,,,4226.00,0.80,0.68,,,,4.46,,,,,
0,1,1,,2.859,0.255,,4175.00,0.77,,,,,,,,,,
0,1,1,10.71253475,,,,4512.48,0.77,0.71,-0.163,[M/H],-0.653,4.51,,2.1811,,,
1,1,1,10.71252541,2.130,0.190,,4253.00,0.57,0.59,-0.350,[Fe/H],,4.70,3.390,,,,
0,1,1,10.71252541,1.930,,,4083.00,0.52,0.53,-0.500,[Fe/H],,4.73,,3.5702,,,
0,1,1,10.71252541,1.930,,,4083.00,0.52,0.53,-0.500,[Fe/H],,4.73,,3.5702,,,
0,1,1,10.71253219,,,,4512.48,0.77,0.71,-0.163,[M/H],-0.653,4.51,,2.1811,,,
0,1,1,10.71252541,1.930,,,4083.00,0.52,0.53,-0.500,[Fe/H],,4.73,,3.5702,,,
0,1,1,32.56352490,,,,5276.00,0.83,0.90,,,-0.322,4.56,,2.2527,,,
0,1,1,32.56352490,2.050,,,5225.00,0.86,0.86,0.140,[Fe/H],,4.50,,1.4918,,,
0,1,1,,1.940,0.173,,5226.00,0.81,,,,,,,,,,
0,1,1,32.56370690,2.220,,,5575.00,0.83,0.92,-0.080,[Fe/H],,4.56,,0.6629,,,
0,1,1,32.56370690,2.220,,,5575.00,0.83,0.92,-0.080,[Fe/H],,4.56,,0.6629,,,
0,1,1,32.56265000,2.000,,,5540.00,0.80,0.91,,,,4.59,0.500,,,,
0,1,1,32.56369016,,,,5276.00,0.83,0.90,,,-0.322,4.56,,2.2527,,,
0,1,1,32.56356274,,,,5276.00,0.83,0.90,,,-0.322,4.56,,2.2527,,,
1,1,1,32.56370690,2.210,0.197,,5390.00,0.84,0.89,-0.030,[Fe/H],,4.54,4.370,,,,
0,1,1,32.56370690,2.220,,,5575.00,0.83,0.92,-0.080,[Fe/H],,4.56,,0.6629,,,
0,1,1,6.11798200,0.970,,,6437.00,1.12,1.18,,,,4.41,0.290,,,,
0,1,1,6.11786898,0.880,,,6444.00,1.11,1.11,-0.220,[Fe/H],,4.39,,0.8761,,,
0,1,1,6.11784972,,,,6263.03,1.34,1.22,0.012,[M/H],0.396,4.27,,0.7135,,,
0,1,1,6.11789109,,,,6263.03,1.34,1.22,0.012,[M/H],0.396,4.27,,0.7135,,,
0,1,1,6.11786898,0.880,,,6444.00,1.11,1.11,-0.220,[Fe/H],,4.39,,0.8761,,,
0,1,1,6.11786898,0.880,,,6444.00,1.11,1.11,-0.220,[Fe/H],,4.39,,0.8761,,,
0,1,1,,1.061,0.095,,6208.00,1.34,,,,,,,,,,
1,1,1,6.11786898,1.030,0.092,,6302.00,1.35,1.22,0.020,[Fe/H],,4.26,2.880,,,,
0,1,1,6.11784972,1.050,,,6226.00,1.33,1.14,0.020,[Fe/H],,4.25,,1.0027,,,
0,1,1,3.97603200,1.050,,,5179.00,0.79,0.77,,,,4.53,13.900,,,,
0,1,1,3.97600484,,,,5197.00,0.78,0.88,,,-0.399,4.60,,2.6337,,,
0,1,1,3.97599629,,,,5197.00,0.78,0.88,,,-0.399,4.60,,2.6337,,,
0,1,1,,1.089,0.097,,5176.00,0.77,,,,,,,,,,
1,1,1,3.97599768,1.120,0.100,,5183.00,0.79,0.85,-0.030,[Fe/H],,4.57,3.630,,,,
0,1,1,3.97599768,1.220,,,5211.00,0.83,0.80,-0.040,[Fe/H],,4.50,,2.7738,,,
0,1,1,3.97599629,1.110,,,5143.00,0.78,0.80,-0.060,[Fe/H],,4.56,,2.7645,,,
0,1,1,3.97599768,1.220,,,5211.00,0.83,0.80,-0.040,[Fe/H],,4.50,,2.7738,,,
0,1,1,3.97599768,1.220,,,5211.00,0.83,0.80,-0.040,[Fe/H],,4.50,,2.7738,,,
0,1,1,9.47850818,1.470,,,6249.00,1.08,1.13,-0.040,[Fe/H],,4.43,,0.3508,,,
0,1,1,9.47829613,,,,6019.00,1.74,1.11,,,0.552,4.00,,0.2995,,,
0,1,1,9.47876623,,,,6019.00,1.74,1.11,,,0.552,4.00,,0.2995,,,
0,1,1,9.47850818,,,,6019.00,1.74,1.11,,,0.552,4.00,,0.2995,,,
0,1,1,9.47852200,1.430,,,6224.00,1.08,1.09,-0.060,[Fe/H],,4.41,,0.3369,,,
1,1,1,9.47852200,1.550,0.138,,6080.00,1.18,1.13,0.050,[Fe/H],,4.34,3.240,,,,
0,1,1,9.47852200,1.430,,,6224.00,1.08,1.09,-0.060,[Fe/H],,4.41,,0.3369,,,
0,1,1,9.47852200,1.430,,,6224.00,1.08,1.09,-0.060,[Fe/H],,4.41,,0.3369,,,
0,1,1,,2.291,0.204,,6255.00,1.68,,,,,,,,,,
0,1,1,33.24079850,,,,5392.42,0.85,0.94,0.157,[M/H],-0.256,4.55,,2.1328,,,
0,1,1,33.24068820,1.940,,,5605.00,1.01,0.90,0.000,[Fe/H],,4.38,,1.3465,,,
0,1,1,33.24068820,1.940,,,5605.00,1.01,0.90,0.000,[Fe/H],,4.38,,1.3465,,,
0,1,1,33.24201000,2.200,,,5560.00,1.00,0.85,,,,4.37,13.000,,,,
0,1,1,33.24097603,,,,5392.42,0.85,0.94,0.157,[M/H],-0.256,4.55,,2.1328,,,
1,1,1,33.24068820,1.690,0.151,,5446.00,0.86,0.90,-0.020,[Fe/H],,4.53,4.900,,,,
0,1,1,33.24068820,1.940,,,5605.00,1.01,0.90,0.000,[Fe/H],,4.38,,1.3465,,,
0,1,1,,1.557,0.139,,5388.00,0.85,,,,,,,,,,
0,1,1,33.24044781,,,,5392.42,0.85,0.94,0.157,[M/H],-0.256,4.55,,2.1328,,,
0,1,1,33.24079850,1.510,,,5382.00,0.83,0.93,0.100,[Fe/H],,4.57,,2.6630,,,
0,1,1,1.00396500,2.070,,,4778.00,0.87,0.86,,,,4.49,,,,,
0,1,1,1.00393170,1.600,,,4949.00,0.74,0.71,-0.180,[Fe/H],,4.55,,3.0832,,,
0,1,1,1.00393374,1.700,,,4949.00,0.74,0.71,-0.180,[Fe/H],,4.55,,2.8582,,,
0,1,1,,1.659,0.148,,4951.00,0.77,,,,,,,,,,
0,1,1,1.00393600,,,,4806.00,0.78,0.78,,,-0.536,4.55,,2.3326,,,
0,1,1,1.00393374,1.700,,,4949.00,0.74,0.71,-0.180,[Fe/H],,4.55,,2.8582,,,
0,1,1,1.00393374,1.700,,,4949.00,0.74,0.71,-0.180,[Fe/H],,4.55,,2.8582,,,
1,1,1,1.00393374,1.710,0.153,,4971.00,0.75,0.79,-0.050,[Fe/H],,4.60,4.270,,,,
0,1,1,1.00393170,,,,4806.00,0.78,0.78,,,-0.536,4.55,,2.3326,,,
0,1,1,55.82265390,2.210,,,5167.00,0.74,0.81,-0.180,[Fe/H],,4.61,,2.9704,,,
0,1,1,,1.953,0.174,,5165.00,0.68,,,,,,,,,,
1,1,1,55.82265390,2.500,0.223,,5157.00,0.82,0.87,0.130,[Fe/H],,4.56,4.270,,,,
0,1,1,55.82280000,2.200,,,5159.00,0.71,0.81,,,,4.64,0.600,,,,
0,1,1,55.82265390,2.210,,,5167.00,0.74,0.81,-0.180,[Fe/H],,4.61,,2.9704,,,
0,1,1,55.82247750,,,,4934.58,0.74,0.81,-0.142,[M/H],-0.530,4.60,,2.7828,,,
0,1,1,55.82265390,2.210,,,5167.00,0.74,0.81,-0.180,[Fe/H],,4.61,,2.9704,,,
0,1,1,55.82222394,,,,4934.58,0.74,0.81,-0.142,[M/H],-0.530,4.60,,2.7828,,,
0,1,1,55.82244220,,,,4934.58,0.74,0.81,-0.142,[M/H],-0.530,4.60,,2.7828,,,
0,1,1,55.82247750,2.130,,,5162.00,0.74,0.82,-0.180,[Fe/H],,4.61,,3.1299,,,
0,1,1,6.11009134,0.990,,,5971.00,1.24,1.13,0.160,[Fe/H],,4.30,,3.4740,,,
0,1,1,6.11010439,0.930,,,6213.00,1.20,1.27,0.360,[Fe/H],,4.39,,3.7566,,,
0,1,1,6.11010439,,,,5959.63,1.27,1.09,0.203,[M/H],0.262,4.27,,0.7532,,,
0,1,1,,0.944,0.084,,6028.00,1.22,,,,,,,,,,
0,1,1,6.11014294,,,,5959.63,1.27,1.09,0.203,[M/H],0.262,4.27,,0.7532,,,
0,1,1,6.11012200,1.040,,,6162.00,1.21,1.08,,,,4.31,4.300,,,,
0,1,1,6.11009134,0.990,,,5971.00,1.24,1.13,0.160,[Fe/H],,4.30,,3.4740,,,
0,1,1,6.11009134,0.990,,,5971.00,1.24,1.13,0.160,[Fe/H],,4.30,,3.4740,,,
1,1,1,6.11009134,0.940,0.084,,6191.00,1.23,1.24,0.260,[Fe/H],,4.35,1.380,,,,
0,1,2,18.79590048,6.040,,,6466.00,1.18,1.21,-0.040,[Fe/H],,4.37,,0.3461,,,
1,1,2,18.79592280,8.059,0.719,29.87500,6150.00,1.61,1.13,-0.040,[Fe/H],,4.10,5.300,0.4100,6.0000,,-12.95
0,1,2,18.79587256,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,4.06,,0.3527,,,
0,1,2,18.79590900,5.740,,,6438.00,1.14,1.18,,,,4.40,0.680,,,,
0,1,2,18.79593028,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,4.06,,0.3527,,,
0,1,2,18.79595200,7.810,0.697,,6169.00,1.47,,,,,4.19,,,,,
0,1,2,50.79036400,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,4.06,,0.3527,,,
0,1,2,18.79591276,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,4.06,,0.3527,,,
0,1,2,18.79590048,6.040,,,6466.00,1.18,1.21,-0.040,[Fe/H],,4.37,,0.3461,,,
0,1,2,18.79590048,6.650,0.593,,6170.00,1.28,1.15,-0.010,[Fe/H],,4.28,3.550,,,,
0,1,2,18.79590048,6.040,,,6466.00,1.18,1.21,-0.040,[Fe/H],,4.37,,0.3461,,,
0,1,2,,8.504,0.759,,6085.00,1.62,,,,,,,,,,
0,1,2,18.79591276,7.390,,,6163.00,1.41,1.10,-0.060,[Fe/H],,4.18,,0.1808,,,
0,1,2,50.79034619,9.940,0.887,,6170.00,1.28,1.15,-0.010,[Fe/H],,4.28,3.550,,,,
0,1,2,50.79041200,11.300,1.008,,6169.00,1.47,,,,,4.19,,,,,
0,1,2,50.79034648,10.600,,,6163.00,1.41,1.10,-0.060,[Fe/H],,4.18,,0.4084,,,
0,1,2,50.79034619,9.160,,,6466.00,1.18,1.21,-0.040,[Fe/H],,4.37,,0.3869,,,
0,1,2,,12.209,1.089,,6085.00,1.62,,,,,,,,,,
0,1,2,50.79034648,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,4.06,,0.3527,,,
0,1,2,50.79034619,9.160,,,6466.00,1.18,1.21,-0.040,[Fe/H],,4.37,,0.3869,,,
0,1,2,50.79035891,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,4.06,,0.3527,,,
1,1,2,50.79039100,12.341,1.101,584.78000,6150.00,1.61,1.13,-0.040,[Fe/H],,4.10,5.300,0.4100,6.0000,,-12.95
0,1,2,50.79056300,8.750,,,6438.00,1.14,1.18,,,,4.40,0.680,,,,
0,1,2,50.79039120,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,4.06,,0.3527,,,
0,1,2,50.79034619,9.160,,,6466.00,1.18,1.21,-0.040,[Fe/H],,4.37,,0.3869,,,
1,1,1,9.98969327,2.410,0.215,,5069.00,0.76,0.80,-0.090,[Fe/H],,4.58,4.900,,,,
0,1,1,9.98969327,2.600,,,5256.00,0.81,0.91,0.160,[Fe/H],,4.58,,1.8051,,,
0,1,1,9.98970266,2.480,,,5265.00,0.81,0.91,0.140,[Fe/H],,4.58,,1.8090,,,
0,1,1,9.98965000,2.400,,,5065.00,0.74,0.91,,,,4.66,,,,,
0,1,1,9.98969327,2.600,,,5256.00,0.81,0.91,0.160,[Fe/H],,4.58,,1.8051,,,
0,1,1,9.98969327,2.600,,,5256.00,0.81,0.91,0.160,[Fe/H],,4.58,,1.8051,,,
0,1,1,,2.712,0.242,,5262.00,0.89,,,,,,,,,,
0,1,1,9.98973387,,,,5004.00,0.90,0.83,,,-0.338,4.45,,1.5988,,,
0,1,1,9.98962569,,,,5004.00,0.90,0.83,,,-0.338,4.45,,1.5988,,,
0,1,1,9.98970266,,,,5004.00,0.90,0.83,,,-0.338,4.45,,1.5988,,,
0,1,1,1.44259530,3.100,,,7222.00,2.23,1.65,,,,3.96,1.460,,,,
0,1,1,1.44259224,2.730,,,7216.00,2.04,1.46,-0.360,[Fe/H],,3.98,,0.4755,,,
0,1,1,1.44259194,,,,7014.00,1.84,1.54,,,0.869,4.09,,0.3473,,,
0,1,1,1.44259224,2.730,,,7216.00,2.04,1.46,-0.360,[Fe/H],,3.98,,0.4755,,,
0,1,1,1.44259231,2.670,,,7216.00,2.04,1.46,-0.360,[Fe/H],,3.98,,0.4705,,,
0,1,1,1.44259224,2.730,,,7216.00,2.04,1.46,-0.360,[Fe/H],,3.98,,0.4755,,,
0,1,1,,2.395,0.214,,7225.00,1.83,,,,,,,,,,
1,1,1,1.44259224,2.560,0.228,,7044.00,1.95,1.58,-0.010,[Fe/H],,4.05,1.350,,,,
0,1,1,1.44259231,,,,7014.00,1.84,1.54,,,0.869,4.09,,0.3473,,,
0,1,1,1.44259054,,,,7014.00,1.84,1.54,,,0.869,4.09,,0.3473,,,
0,1,1,26.02033290,4.530,,,5624.00,1.24,0.93,0.040,[Fe/H],,4.22,,0.7777,,,
0,1,1,26.01879744,,,,5743.43,0.84,1.03,0.182,[M/H],-0.161,4.60,,2.4556,,,
0,1,1,26.02017992,,,,5743.43,0.84,1.03,0.182,[M/H],-0.161,4.60,,2.4556,,,
0,1,1,26.02060000,2.400,,,5571.00,0.64,0.98,,,,4.82,,,,,
0,1,1,26.02044230,3.260,,,5806.00,0.90,1.00,-0.040,[Fe/H],,4.53,,1.7397,,,
1,1,1,26.02044230,3.200,0.285,,5558.00,0.89,0.92,-0.040,[Fe/H],,4.51,4.370,,,,
0,1,1,26.02033290,,,,5743.43,0.84,1.03,0.182,[M/H],-0.161,4.60,,2.4556,,,
0,1,1,,3.313,0.296,,5626.00,0.91,,,,,,,,,,
0,1,1,26.02044230,3.260,,,5806.00,0.90,1.00,-0.040,[Fe/H],,4.53,,1.7397,,,
0,1,1,26.02044230,3.260,,,5806.00,0.90,1.00,-0.040,[Fe/H],,4.53,,1.7397,,,
0,1,1,0.76985360,0.910,,,5178.00,0.82,0.88,0.160,[Fe/H],,4.56,,3.2202,,,
0,1,1,0.76985410,0.840,,,5088.00,0.75,0.75,,,,4.57,12.400,,,,
0,1,1,0.76985490,,,,5084.02,0.78,0.85,0.251,[M/H],-0.435,4.58,,2.5218,,,
